geo,Country,year,Consumption Industry,Consumption Households,Consumption Transport,REN Share,REN Share Electricity,REN Share Heat-Cool,REN Share Transport,Price+Taxes,Price
IT,Italy,2019-01-01,24928.486,31138.335,35861.202,18.181,34.969,19.699,9.047,0.2321,0.14295
LI,Liechtenstein,2019-01-01,,,,,,,,0.20165,0.17375
LT,Lithuania,2019-01-01,1113.763,1447.177,2150.671,25.474,18.79,47.372,4.049,0.12545,0.0947
LU,Luxembourg,2019-01-01,631.731,463.194,2153.407,7.046,10.863,8.687,7.707,0.17985,0.13255
LV,Latvia,2019-01-01,852.714,1187.967,1098.869,40.929,53.423,57.749,4.554,0.1634499999999999,0.114
MT,Malta,2019-01-01,61.017,101.528,241.714,8.23,7.485,23.602,8.902,0.1296999999999999,0.1220499999999999
NL,Netherlands,2019-01-01,13295.047,9330.173,10418.067,8.886,18.23,7.217,12.326,0.2065,0.136
PL,Poland,2019-01-01,16492.204,20993.899,22746.098,15.377,14.356,22.005,6.2,0.13595,0.08825
PT,Portugal,2019-01-01,4618.128,2891.348,5982.658,30.623,53.774,41.657,9.089,0.21655,0.11925
RO,Romania,2019-01-01,6661.063,7753.283,6571.907,24.29,42.616,25.739,7.846,0.13895,0.1003999999999999
SE,Sweden,2019-01-01,10783.745,7363.914,7026.905,55.785,71.234,64.394,30.309,0.20425,0.13065
SI,Slovenia,2019-01-01,1322.08,1076.85,1926.584,21.968,32.632,32.132,7.983,0.1649999999999999,0.11355
SK,Slovakia,2019-01-01,3463.68,2637.679,2789.729,16.894,22.103,19.696,8.308,0.1581,0.09655
AT,Austria,2020-01-01,7274.665,7033.251,7724.115,36.545,78.204,34.995,10.283,0.2139,0.1371
BE,Belgium,2020-01-01,10591.235,7581.389,7745.474,13.0,25.122,8.447,11.035,0.2747,0.1835
BG,Bulgaria,2020-01-01,2646.35,2382.245,3209.758,23.319,23.586,37.178,9.101,0.09895,0.08245
CY,Cyprus,2020-01-01,244.584,363.552,617.554,16.879,12.041,37.117,7.401,0.19155,0.13405
CZ,Czechia,2020-01-01,6567.069,7148.052,6377.501,17.303,14.81,23.535,9.383,0.1818,0.1301999999999999
DE,Germany,2020-01-01,54762.64,57979.779,51000.996,19.09,44.215,14.481,10.008,0.30245,0.14405
DK,Denmark,2020-01-01,2307.445,4273.399,4115.267,31.681,65.323,51.073,9.701,0.2825999999999999,0.09295
EE,Estonia,2020-01-01,408.037,944.704,795.628,30.069,28.293,58.834,12.165,0.12635,0.09175
EL,Greece,2020-01-01,2523.498,4277.83,5141.857,21.749,35.856,31.941,5.341,0.16575,0.12815
ES,Spain,2020-01-01,19646.016,14555.763,26059.067,21.22,42.944,17.966,9.528,0.22685,0.1219
FI,Finland,2020-01-01,10257.554,5284.813,3882.493,43.939,39.564,57.622,14.31,0.17565,0.11915
FR,France,2020-01-01,25513.117,39984.582,38586.384,19.109,24.819,23.368,9.207,0.19255,0.1267
HR,Croatia,2020-01-01,1171.272,2277.143,1968.591,31.023,53.816,36.928,6.593,0.1304,0.10145
HU,Hungary,2020-01-01,4421.598,5980.487,4459.534,13.85,11.904,17.72,11.571,0.102,0.0803
IE,Ireland,2020-01-01,2274.801,3132.847,3520.769,16.16,39.055,6.264,10.187,0.25125,0.2108
IS,Iceland,2020-01-01,1298.431,482.238,305.364,83.725,102.709,80.504,11.959,0.12945,0.10245
IT,Italy,2020-01-01,23861.103,30655.992,28976.458,20.359,38.081,19.949,10.736,0.2189499999999999,0.13565
LI,Liechtenstein,2020-01-01,,,,,,,,0.20965,0.1807
LT,Lithuania,2020-01-01,1024.34,1433.361,2126.456,26.773,20.166,50.35,5.511,0.13735,0.1041499999999999
LU,Luxembourg,2020-01-01,580.106,497.737,1667.676,11.699,13.887,12.614,12.581,0.19855,0.1465
LV,Latvia,2020-01-01,870.882,1115.366,1045.5,42.132,53.357,57.094,6.733,0.1426,0.10005
MT,Malta,2020-01-01,66.241,105.933,205.248,10.714,9.489,23.027,10.586,0.1292499999999999,0.1216
NL,Netherlands,2020-01-01,13304.593,9110.154,8839.122,13.999,26.407,8.053,12.631,0.13965,0.1373
PL,Poland,2020-01-01,15921.165,21101.347,21725.353,16.102,16.237,22.143,6.575,0.14925,0.09395
PT,Portugal,2020-01-01,4447.539,3014.19,5002.965,33.982,58.032,41.546,9.701,0.21265,0.11385
RO,Romania,2020-01-01,6437.031,8007.426,6460.8,24.478,43.374,25.327,8.54,0.1454,0.10425
SE,Sweden,2020-01-01,11059.63,7182.148,6610.086,60.124,74.495,66.381,31.854,0.19655,0.12355
SI,Slovenia,2020-01-01,1256.408,1091.333,1583.292,25.0,35.095,32.141,10.911,0.1571,0.11215
SK,Slovakia,2020-01-01,3138.177,2744.571,2487.886,17.345,23.066,19.427,9.259,0.1704999999999999,0.109
AT,Austria,2021-01-01,7455.981,7811.649,7996.576,34.643,74.008,33.127,9.648,0.22505,0.1421
BE,Belgium,2021-01-01,11066.441,8228.015,8561.249,13.017,26.035,9.21,10.332,0.2848,0.1891
BG,Bulgaria,2021-01-01,2823.82,2403.893,3434.583,19.394,21.413,29.855,7.613,0.10575,0.0881
CY,Cyprus,2021-01-01,246.344,355.143,661.604,19.069,14.84,42.595,7.189,0.214,0.13635
CZ,Czechia,2021-01-01,7013.271,7864.166,6749.252,17.614,14.468,24.349,6.74,0.18425,0.1391
DE,Germany,2021-01-01,56064.099,57672.167,49902.777,19.302,43.964,15.533,8.104,0.32135,0.1578999999999999
DK,Denmark,2021-01-01,2478.016,4519.97,4204.096,41.494,73.181,51.552,10.062,0.3174,0.12625
EE,Estonia,2021-01-01,383.584,965.256,840.249,37.342,29.197,61.347,11.187,0.16315,0.12365
EL,Greece,2021-01-01,2565.401,4278.524,5530.448,22.001,35.881,31.081,4.414,0.1827,0.14465
ES,Spain,2021-01-01,20972.534,14513.752,30350.056,20.552,45.994,16.971,9.207,0.25695,0.1618
FI,Finland,2021-01-01,10760.748,5962.385,4023.489,42.819,39.583,52.085,20.298,0.18035,0.12295
FR,France,2021-01-01,27645.797,43310.438,43830.653,19.391,24.815,24.757,8.114,0.1984,0.1322499999999999
HR,Croatia,2021-01-01,1191.359,2441.87,2147.878,31.285,53.471,38.006,6.985,0.1301999999999999,0.10125
HU,Hungary,2021-01-01,4729.286,6374.4,4897.618,14.134,13.66,17.898,6.165,0.10065,0.07925
IE,Ireland,2021-01-01,2266.444,2983.656,3750.888,12.945,37.665,5.421,4.646,0.27645,0.2244499999999999
IS,Iceland,2021-01-01,1330.039,500.795,321.949,79.618,99.536,79.621,12.562,0.1371,0.10825
IT,Italy,2021-01-01,25777.808,33244.961,34801.761,18.888,35.996,19.354,9.87,0.23095,0.1596
LI,Liechtenstein,2021-01-01,,,,,,,,0.2096,0.18075
